iter	Passed	Remaining
0	231	231331
1	232	116161
2	233	77756
3	235	58532
4	236	46996
5	238	39495
6	239	33945
7	240	29772
8	240	26513
9	241	23942
10	242	21837
11	243	20080
12	244	18593
13	245	17321
14	247	16235
15	248	15279
16	249	14429
17	250	13669
18	252	13032
19	254	12450
20	255	11896
21	256	11393
22	257	10934
23	258	10510
24	259	10121
25	260	9760
26	261	9426
27	262	9115
28	263	8825
29	264	8555
30	265	8308
31	267	8095
32	269	7902
33	270	7692
34	271	7493
35	272	7304
36	273	7127
37	274	6958
38	275	6798
39	276	6646
40	277	6501
41	278	6362
42	279	6230
43	280	6104
44	283	6017
45	284	5903
46	285	5792
47	286	5688
48	287	5587
49	288	5489
50	290	5396
51	291	5306
52	292	5219
53	293	5134
54	294	5052
55	295	4973
56	296	4897
57	298	4846
58	300	4788
59	301	4719
60	302	4652
61	303	4589
62	304	4528
63	305	4467
64	306	4409
65	307	4352
66	308	4297
67	309	4242
68	310	4190
69	311	4139
70	316	4137
71	317	4094
72	318	4047
73	319	4002
74	320	3957
75	322	3915
76	323	3872
77	323	3829
78	324	3788
79	325	3748
80	327	3710
81	329	3687
82	329	3644
83	331	3609
84	332	3574
85	333	3540
86	334	3506
87	335	3472
88	336	3440
89	337	3409
90	338	3379
91	339	3350
92	340	3322
93	341	3294
94	343	3274
95	345	3249
96	346	3222
97	347	3195
98	348	3168
99	349	3142
100	350	3118
101	351	3093
102	352	3069
103	353	3045
104	354	3021
105	355	2998
106	356	2976
107	360	2973
108	361	2952
109	362	2930
110	363	2908
111	364	2887
112	365	2866
113	366	2845
114	367	2825
115	368	2805
116	369	2785
117	371	2775
118	372	2758
119	375	2754
120	376	2737
121	377	2718
122	378	2700
123	379	2683
124	380	2666
125	381	2648
126	382	2630
127	383	2613
128	384	2597
129	385	2580
130	386	2564
131	387	2548
132	389	2540
133	391	2527
134	392	2514
135	393	2500
136	394	2485
137	395	2471
138	396	2457
139	397	2444
140	398	2430
141	399	2413
142	400	2400
143	401	2387
144	402	2374
145	405	2372
146	406	2360
147	407	2347
148	408	2335
149	410	2323
150	411	2312
151	412	2300
152	413	2287
153	414	2275
154	415	2263
155	416	2252
156	417	2240
157	418	2229
158	420	2224
159	421	2213
